DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,FEX_C,DPTO,ANO,MES,PERIODO,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,P5220,P5220S1,P6008,P6007,P6007S1,P4000,P4010,P4020,P4030S1,P4030S1A1,P4030S2,P4030S3,P4030S4,P4030S4A1,P4030S5,P4040,REGIS,P6006
4671889,1,1,1,17,1,171.35201094,17,2018,07,201807,6,1,1,1,1,1,1,3,1,,160000000,800000,,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,2,2,1,1,1,2,,2,1,4,1,3,1,1,1,2,1,1,01,
4671891,1,1,1,17,1,223.65642131,17,2018,07,201807,3,2,1,1,1,1,1,3,3,,,,400000,2,1,1,1,1,2,1,2,2,1,1,2,1,1,2,2,2,2,1,2,2,1,3,4,2,,2,1,3,1,3,1,1,1,2,1,1,01,
4671892,1,1,1,17,1,260.35101972,17,2018,07,201807,3,2,1,1,1,1,1,3,2,1200000,200000000,1000000,,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,2,1,2,1,2,3,2,,2,1,4,1,4,1,1,1,2,1,1,01,
4671893,1,1,1,17,1,296.59134157,17,2018,07,201807,6,3,1,1,1,1,1,3,3,,,,300000,2,2,2,1,1,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,1,3,4,2,,2,1,4,1,3,1,1,1,2,1,1,01,
4671895,1,1,1,17,1,239.04492174,17,2018,07,201807,4,1,1,1,1,1,1,3,1,,150000000,700000,,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1,2,1,1,2,2,,2,1,4,1,4,1,1,1,2,1,1,01,
4671896,1,1,1,17,1,230.45620421,17,2018,07,201807,3,2,1,1,1,1,1,3,3,,,,580000,2,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,1,2,1,3,3,2,,2,1,3,1,4,1,1,1,2,1,1,01,
4671899,1,1,1,17,1,201.66497484,17,2018,07,201807,3,1,1,1,1,1,1,4,3,,,,800000,2,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,1,1,2,,2,1,7,1,6,2,1,1,2,1,1,01,
4671900,1,1,1,17,1,256.30528243,17,2018,07,201807,3,2,1,1,1,1,1,4,3,,,,500000,2,1,2,1,1,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,4,4,2,,2,1,3,1,4,2,1,1,2,1,1,01,
4671901,1,1,1,17,1,171.35201094,17,2018,07,201807,4,1,1,1,1,1,1,3,1,,120000000,1000000,,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,2,1,1,1,2,,2,1,6,1,6,1,1,1,2,1,1,01,
4671902,1,1,1,17,1,243.93960933,17,2018,07,201807,4,3,1,1,1,1,1,4,3,,,,700000,2,2,1,1,1,1,1,2,1,1,1,2,2,1,2,2,2,1,2,2,2,1,4,4,2,,2,1,6,1,6,2,1,1,2,1,1,01,
4671903,1,1,1,17,1,219.39419154,17,2018,07,201807,5,1,1,1,1,1,1,3,4,,,850000,,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,,2,1,4,1,6,1,1,1,2,1,1,01,
4671904,1,1,1,17,1,170.16783787,17,2018,07,201807,3,1,1,1,1,1,1,3,1,,600000000,700000,,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,,2,1,4,1,6,1,1,1,2,1,1,01,
4671905,1,1,1,17,1,153.58523354,17,2018,07,201807,4,3,1,1,1,1,1,4,3,,,,400000,2,1,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,1,2,2,2,1,3,7,2,,2,1,2,1,4,2,1,1,2,1,1,01,
4671906,1,1,1,17,1,289.21614517,17,2018,07,201807,3,2,1,1,1,1,1,3,3,,,,420000,2,1,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,1,2,2,2,,2,1,4,1,3,1,1,1,2,1,1,01,
4671907,1,1,1,17,1,185.06728589,17,2018,07,201807,3,2,1,1,1,1,1,3,2,400000,98,500000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,3,2,,1,1,4,1,3,1,1,1,2,1,1,01,
4671908,1,1,1,17,1,198.02579663,17,2018,07,201807,4,3,1,1,1,1,1,3,3,,,,350000,2,1,1,2,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,3,5,2,,2,1,6,1,2,1,1,1,2,1,1,01,
4671910,1,1,1,17,1,226.9439684,17,2018,07,201807,4,3,1,1,1,1,1,3,1,,90000000,600000,,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,2,1,4,5,2,,2,1,6,1,3,1,1,1,2,1,1,01,
4671911,1,1,1,17,1,194.56802327,17,2018,07,201807,3,1,1,1,1,1,1,3,1,,160000000,1000000,,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,2,2,2,1,2,1,1,1,2,,2,1,4,1,4,1,1,1,2,1,1,01,
4671912,1,1,1,17,1,159.42988111,17,2018,07,201807,7,3,1,1,1,1,1,3,2,2800000,180000000,1200000,,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,2,1,2,1,2,1,4,4,2,,1,1,6,1,6,1,1,1,2,1,1,01,
4671913,1,1,1,17,1,192.65810892,17,2018,07,201807,4,2,1,1,1,1,1,3,1,,98,400000,,2,1,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,,2,1,4,1,2,1,1,1,2,1,1,01,
4671917,1,1,1,17,1,250.67752886,17,2018,07,201807,4,3,1,1,1,1,1,3,3,,,,300000,2,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,2,2,1,2,5,2,,2,1,6,1,2,1,1,1,2,1,1,01,
4671918,1,1,1,17,1,161.81842364,17,2018,07,201807,1,1,1,1,1,1,1,3,3,,,,700000,2,1,1,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,,2,1,4,1,6,1,1,1,2,1,1,01,
4671919,1,1,1,17,1,234.78751101,17,2018,07,201807,1,1,1,1,1,1,1,3,3,,,,650000,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,,2,1,4,1,6,1,1,1,2,1,1,01,
4671920,1,1,1,17,1,170.16783787,17,2018,07,201807,4,2,1,1,1,1,1,4,3,,,,800000,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,,2,1,4,1,4,2,1,1,2,1,1,01,
4671921,1,1,1,17,1,267.77071725,17,2018,07,201807,8,5,1,1,1,1,1,3,1,,100000000,500000,,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,2,1,2,1,6,6,2,,1,1,4,1,2,1,1,1,2,1,1,01,
4671922,1,1,1,17,1,271.98362684,17,2018,07,201807,3,2,1,1,1,1,1,3,3,,,,300000,2,1,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,6,2,,2,1,4,1,2,1,1,1,2,1,1,01,
4671925,1,1,1,17,1,172.76805384,17,2018,07,201807,1,1,1,1,1,1,1,1,3,,,,500000,1,1,1,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,,2,1,4,1,6,2,1,1,2,1,1,01,
4671926,1,1,1,17,1,177.0424915,17,2018,07,201807,4,3,1,1,1,1,1,3,1,,40000000,300000,,2,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,5,2,,2,1,6,1,2,1,1,1,2,1,1,01,
4671927,1,1,1,17,1,249.21511097,17,2018,07,201807,3,2,1,1,1,1,1,3,3,,,,310000,2,1,1,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,4,2,,1,1,4,1,2,1,1,1,2,1,1,01,
4671928,1,1,1,17,1,189.2716503,17,2018,07,201807,4,1,1,1,1,1,1,3,3,,,,450000,2,1,1,2,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,3,3,2,,2,1,4,1,2,1,1,1,2,1,1,01,
4671930,1,1,1,17,1,171.35201094,17,2018,07,201807,4,1,1,1,1,1,1,3,3,,,,750000,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,,2,1,4,1,4,1,1,1,2,1,1,01,
4671935,1,1,1,17,1,225.78064509,17,2018,07,201807,4,2,1,1,1,1,1,3,3,,,,800000,2,1,2,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,2,1,4,1,4,1,1,1,2,1,1,01,
4671937,1,1,1,17,1,206.86725533,17,2018,07,201807,3,2,1,1,1,1,1,3,3,,,,800000,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,1,3,3,2,,2,1,4,1,4,1,1,1,2,1,1,01,
4671938,1,1,1,17,1,172.81442884,17,2018,07,201807,5,2,1,1,1,1,1,3,4,,,300000,,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,,2,1,4,1,2,1,1,1,2,1,1,01,
4671939,1,1,1,17,1,249.5587067,17,2018,07,201807,2,1,1,1,1,1,1,3,4,,,380000,,2,1,1,1,1,2,1,2,2,2,1,2,1,1,2,2,2,2,1,2,2,1,2,3,2,,2,1,4,1,2,1,1,1,2,1,1,01,
4671941,1,1,1,17,1,227.27298468,17,2018,07,201807,4,3,1,1,1,1,1,4,3,,,,420000,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,4,4,2,,2,1,3,1,4,2,1,1,2,1,1,01,
