DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P6290,P6230,P6240,P6250,P6260,P6270,P6280,P6300,P6310,P6320,P6330,P6340,P6350,P6351,RABAND,FT
4731596,1,2,1,05,1,1327.6148868,05,2018,10,201810,50,,2,4,2,2,2,2,2,,,,,,,,1
4731596,1,3,1,05,1,1327.6148868,05,2018,10,201810,50,,3,1,,,,,,,,,,,,,1
4731597,1,1,1,05,1,1369.8804714,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731598,1,1,1,05,1,628.53242948,05,2018,10,201810,50,,1,4,1,,,,,,,,,,,,1
4731598,1,2,1,05,1,628.53242948,05,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731598,1,3,1,05,1,628.53242948,05,2018,10,201810,50,,3,1,,,,,,,,,,,,,1
4731598,1,4,1,05,1,628.53242948,05,2018,10,201810,50,,4,1,,,,,,,,,,,,,1
4731599,1,1,1,05,1,680.91368476,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731599,1,2,1,05,1,680.91368476,05,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731600,1,1,1,05,1,1121.0835251,05,2018,10,201810,50,,1,4,2,2,2,2,2,,,,,,,,1
4731600,1,2,1,05,1,1121.0835251,05,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731601,1,1,1,05,1,1164.106369,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731601,1,2,1,05,1,1164.106369,05,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731602,1,1,1,05,1,1506.2847472,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731602,1,2,1,05,1,1506.2847472,05,2018,10,201810,50,,2,3,2,2,2,2,2,,,,,,,,1
4731602,1,3,1,05,1,1506.2847472,05,2018,10,201810,50,,3,3,2,2,2,2,2,,,,,,,,1
4731603,1,1,1,05,1,1369.8804714,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731604,1,1,1,05,1,1095.7825806,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731604,1,2,1,05,1,1095.7825806,05,2018,10,201810,50,1,2,2,2,2,2,1,,,,,,,1,,1
4731604,1,3,1,05,1,1095.7825806,05,2018,10,201810,50,,3,1,,,,,,,,,,,,,1
4731605,1,1,1,05,1,1561.2433407,05,2018,10,201810,50,,1,4,2,2,2,2,2,,,,,,,,1
4731605,1,2,1,05,1,1561.2433407,05,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731605,1,4,1,05,1,1561.2433407,05,2018,10,201810,50,,4,1,,,,,,,,,,,,,1
4731606,1,1,1,05,1,1665.5782622,05,2018,10,201810,50,,1,4,2,2,2,2,1,10,,,,,,2,1
4731607,1,1,1,05,1,1246.3707584,05,2018,10,201810,50,,1,6,2,2,2,2,2,,,,,,,,1
4731607,1,2,1,05,1,1246.3707584,05,2018,10,201810,50,,1,6,2,2,2,2,2,,,,,,,,1
4731609,1,1,1,05,1,1239.9932515,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731609,1,2,1,05,1,1239.9932515,05,2018,10,201810,50,,2,6,2,1,,,,,,,,,,,1
4731609,1,4,1,05,1,1239.9932515,05,2018,10,201810,50,,1,6,2,2,2,2,2,,,,,,,,1
4731610,1,1,1,05,1,1827.9175506,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731610,1,2,1,05,1,1827.9175506,05,2018,10,201810,50,,2,4,2,2,2,2,2,,,,,,,,1
4731610,1,3,1,05,1,1827.9175506,05,2018,10,201810,50,,3,3,2,2,2,2,1,12,,,,,,2,1
4731610,1,4,1,05,1,1827.9175506,05,2018,10,201810,50,,4,3,2,2,2,2,2,,,,,,,,1
4731611,1,1,1,05,1,1553.4948008,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731611,1,2,1,05,1,1553.4948008,05,2018,10,201810,50,,2,4,2,2,2,2,2,,,,,,,,1
4731612,1,1,1,05,1,1294.2903504,05,2018,10,201810,50,,1,4,2,1,,,,,,,,,,,1
4731612,1,2,1,05,1,1294.2903504,05,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731613,1,1,1,05,1,597.03197014,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731613,1,2,1,05,1,597.03197014,05,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731613,1,3,1,05,1,597.03197014,05,2018,10,201810,50,,3,1,,,,,,,,,,,,,1
4731613,1,4,1,05,1,597.03197014,05,2018,10,201810,50,,4,1,,,,,,,,,,,,,1
4731614,1,1,1,05,1,1168.3893433,05,2018,10,201810,50,,1,6,2,2,2,2,2,,,,,,,,1
4731614,1,2,1,05,1,1168.3893433,05,2018,10,201810,50,,2,4,1,,,,,,,,,,,,1
4731615,1,1,1,05,1,1372.8917864,05,2018,10,201810,50,2,1,4,2,2,2,1,,,,,,,1,,1
4731615,1,2,1,05,1,1372.8917864,05,2018,10,201810,50,3,2,3,2,2,2,1,,,,,,,1,,1
4731616,1,1,1,05,1,1689.8033119,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731616,1,2,1,05,1,1689.8033119,05,2018,10,201810,50,,2,3,2,2,2,2,2,,,,,,,,1
4731616,1,3,1,05,1,1689.8033119,05,2018,10,201810,50,,3,3,2,2,2,2,2,,,,,,,,1
4731617,1,1,1,05,1,1465.4406245,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731617,1,2,1,05,1,1465.4406245,05,2018,10,201810,50,3,2,4,2,2,2,1,,,,,,,1,,1
4731617,1,3,1,05,1,1465.4406245,05,2018,10,201810,50,,3,3,2,2,2,2,1,8,2,,2,,,1,1
